ID,Nama,Kategori,Lokasi,Tanggal Pembelian,Nomor Seri,Spesifikasi,No. Computer
1,HP Pavilion aero 13 BE0001AU,Laptop,ESU,2023-12-01,8CG1387KRB,"AMD Ryzen™ 5 processor
Windows 10 Home 64
13.3″ diagonal, WUXGA (1920 x 1200), IPS, micro-edge, anti-glare, 400 nits, 100% sRGB
16 GB DDR4-3200 MHz RAM (onboard)
512 GB PCIe® NVMe™ M.2 SSD
Designed with the environment in mind
AMD Radeon™ Graphics
1 SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.0; 1 AC smart pin; 1 headphone/microphone combo
Up to 10 hours and 30 minutes",IT/EQ/LTP/033
2,ASUS Vivobook M1402lA,Laptop,ANO,2023-06-05,NCN0CV04N08849G,"Windows 11 512 GB SSD RAM 8 GB AMD Ryzen 7 4800H



",IT/EQ/LTP/036
3,ASUS Vivobook M1405YA,Laptop,MAA,2024-07-02,RAN0CV61456415,"Windows 11 512 GB SSD 16 GB AMD Ryzen 7 7730U



",IT/EQ/LTP/040
4,ASUS A409FJ,Laptop,DWA,2020-06-22,K9N0CX14N75739B,"Windows 11
512 GB SSD
16 GB
i7-8565U intel® 
",IT/EQ/LTP/029
5,ASUS A409FJ,Laptop,JJU,2025-06-22,KAN0CX02C367418,"Windows 11
512 GB SSD
20 GB
i7-8565U intel® 
",IT/EQ/LTP/030
6,ASUS A409FJ,Laptop,SPARE IT,2025-06-22,K9N0CX12J86338B,"Windows 11
512 GB SSD
8 GB 
i7-8565U intel® 
",IT/EQ/LTP/028
7,HP 240 G6,Laptop,SZA,2019-01-21,5CD74887P0,"Windows 10
512 GB SSD
4 GB + 4 GB
i7-7500U intel® 
",IT/EQ/LTP/026
8,Asus Vivobook X1404VA,Laptop,HGG,2025-01-09,S5N0CX03016020C,"Windows 11
1 TB
16 GB
i7-1355U intel® 
",IT/EQ/LTP/044
9,HP 14S-FQ1XXX,Laptop,IMA,2023-06-05,5CD2032H6X,"Windows 11
512 GB SSD
8 GB
AMD Ryzen 7 5700U
",IT/EQ/LTP/039
10,Acer Aspire V3,Laptop,MRM,2013-05-19,NXRYLSM0093130BFAF7600,"Windows 10
512 GB SSD
4 GB
i3-2348M intel® 
",IT/EQ/LTP/007
11,HP 1000-1409TX,Laptop,TWI,2014-11-11,5CG33560MW,"Windows 10
512 GB HDD
8 GB
i3-3110m intel® 
",IT/EQ/LTP/024
13,HP-Notebook,Laptop,SPARE IT,2020-06-22,5CG5263NYW,"Windows 10
512 GB HDD / 512 GB SSD
4 GB + 4 GB
i5-5200U intel® 
",IT/EQ/LTP/034
14,ASUS K418B,Laptop,EWS,2021-12-01,24M,"Windows 11
512 GB SSD 
8 GB
i7-1165G7 inter® 
",IT/EQ/LTP/035
15,HP 240 G6,Laptop,Ginanjar,2018-12-27,5CD74887TB,"Windows 10
512 GB SSD
4 GB + 8 GB
i7-7500U intel® 
",IT/EQ/LTP/025
16,Dell-Inspirion 3480,Laptop,SPARE IT,2019-11-22,D21KBV2,"Windows 10
512 GB SSD
8 GB
i7-8565U intel® 
",IT/EQ/LTP/025
17,HP-240 G8,Laptop,TNU,2023-07-24,5CG1408JR7,"Windows 11
1 TB HDD / 512 GB SSD
8 GB
i7-1065G7 intel® 
",IT/EQ/LTP/037
18,HP-240 G6,Laptop,FSI,2016-04-26,5CG5510VS4,"Windows 10
512 GB HDD / 512 GB SSD
8 GB
i5-6200U intel® 
",IT/EQ/LTP/016
